% Model,FBAR_Sc30AlN200nm_Mo100nm_2p5to7p5GHz_16jul25_S.mph
% Versjon,COMSOL 6.1.0.346
% Date,"Jul 28 2025, 11:49"
% Table,Table 2 - Z parameter
% freq (Hz),"w_edge=0.20649, t_edge=1.0898, t_ScAlN=0.25398, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.23616, t_edge=1.9328, t_ScAlN=0.46646, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.31752, t_edge=1.7884, t_ScAlN=0.29408, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.42666, t_edge=2.3908, t_ScAlN=0.32704, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.26543, t_edge=2.763, t_ScAlN=0.47372, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.2, t_edge=0.82689, t_ScAlN=0.31882, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.37007, t_edge=0.05, t_ScAlN=0.25835, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.22838, t_edge=0.58157, t_ScAlN=0.46352, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.65045, t_edge=0.84315, t_ScAlN=0.35532, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.26902, t_edge=2.0441, t_ScAlN=0.41348, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.20294, t_edge=1.6227, t_ScAlN=0.3561, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.39019, t_edge=1.3336, t_ScAlN=0.36057, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.40822, t_edge=1.6571, t_ScAlN=0.4289, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.27578, t_edge=2.5882, t_ScAlN=0.5, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.36899, t_edge=1.7976, t_ScAlN=0.49887, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.39381, t_edge=1.9257, t_ScAlN=0.36216, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.30808, t_edge=2.191, t_ScAlN=0.2516, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.28913, t_edge=2.6501, t_ScAlN=0.34745, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.3386, t_edge=1.2992, t_ScAlN=0.3167, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.21356, t_edge=1.4986, t_ScAlN=0.46069, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.31262, t_edge=0.83409, t_ScAlN=0.38602, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.48795, t_edge=1.6227, t_ScAlN=0.37064, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.2, t_edge=2.4971, t_ScAlN=0.23957, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.31673, t_edge=2.865, t_ScAlN=0.42538, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.20473, t_edge=2.5336, t_ScAlN=0.37291, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.3205, t_edge=2.6406, t_ScAlN=0.22561, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.29293, t_edge=2.2195, t_ScAlN=0.29662, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.25855, t_edge=2.0975, t_ScAlN=0.4745, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.25203, t_edge=1.1568, t_ScAlN=0.462, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.53724, t_edge=0.65587, t_ScAlN=0.38301, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.22719, t_edge=2.5309, t_ScAlN=0.41866, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.31515, t_edge=0.91567, t_ScAlN=0.48898, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.30914, t_edge=2.5161, t_ScAlN=0.23356, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.24037, t_edge=1.8335, t_ScAlN=0.21739, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.21434, t_edge=2.1398, t_ScAlN=0.5, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.35318, t_edge=0.6518, t_ScAlN=0.3702, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.31872, t_edge=2.9903, t_ScAlN=0.32693, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.28416, t_edge=3, t_ScAlN=0.21663, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.2, t_edge=2.3659, t_ScAlN=0.29735, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.31554, t_edge=2.5987, t_ScAlN=0.30806, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.49033, t_edge=1.3649, t_ScAlN=0.3893, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.2, t_edge=2.0516, t_ScAlN=0.43216, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.33297, t_edge=2.063, t_ScAlN=0.20177, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.29453, t_edge=2.6365, t_ScAlN=0.24287, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.294, t_edge=1.6162, t_ScAlN=0.30533, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.21267, t_edge=1.3257, t_ScAlN=0.36637, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.22613, t_edge=1.463, t_ScAlN=0.29226, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.22987, t_edge=1.5334, t_ScAlN=0.28508, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.24024, t_edge=0.61666, t_ScAlN=0.49871, es.zref*(1+es.S11)/(1-es.S11) (Ω)","w_edge=0.35605, t_edge=2.2898, t_ScAlN=0.4385, es.zref*(1+es.S11)/(1-es.S11) (Ω)"
4.0217391304347825E9,16.313442812895307-499.7051131713027j,15.498568276129191-354.4732345319231j,9.370349892689802-562.5243945229387j,6.68404088706528-613.1469367183062j,35.781899354132115-217.71426974159527j,231.16329952897448-459.68386771507306j,21.785846843534497-492.10617998471076j,80.25216134532069-454.44831805123465j,6.281893234914261-637.1916134930173j,7.036586282262713-610.1489116312343j,7.9782007400100685-635.0978277247564j,18.93343735495359-627.4395725663578j,15.493211852298547-601.4349912091435j,142.65127991562008+706.9095385224766j,136.31036093630271+680.5308192873165j,6.6747880869068545-622.3426960631348j,10.13284700126719-500.8961891329455j,15.47473173510816-621.5413263059978j,18.81664505383528-597.120344954042j,14.160618171105279-394.56886844889254j,7.713267137681572-639.7591189286595j,7.216375354820798-641.2659916995641j,7.96327167118905-487.06520551347523j,12.401359543423142-576.9297637145344j,7.880506172835093-635.2445826938199j,6.958261364123586-445.7797947385006j,12.862700783716631-580.7273418856088j,30.356109216174453-207.43580100062442j,42.0824623176224-354.76267192441003j,47.01049451101324-693.5382994646233j,5.280044151122538-604.6991912158452j,20.57590228978996+58.32671722632316j,6.673982975302935-464.44030195974176j,4.7536072797370235-433.8241626995086j,205.54333039467963+588.3325134855857j,34.68245126159371-670.8428919459286j,13.90702378764668-626.6685274641067j,14.460549163490514-462.0364986492819j,13.344155246736893-554.5801615413747j,27.74035561629694-577.3472676916281j,14.359976424518209-645.5973888126169j,12.572566348143049-584.5956609367817j,4.859384475246575-394.97713968672605j,9.58951378305867-467.592106629079j,53.31218524779974-577.0888661606655j,14.698945989336496-638.862153460807j,70.65714772312545-491.20053556587214j,9.792241440878591-566.6133879929025j,133.50747870768538+583.6776110443635j,17.29982866038437-579.4771037433051j
4.0384615384615383E9,12.432882711246993-498.8664860827965j,14.421412942994575-314.7713701191278j,10.123296556726629-559.8030947275398j,6.199989929390686-607.9406260948053j,221.68017853515207-152.71504087373233j,34.66849928774809-671.2214118244833j,23.25681056025756-482.97076688841025j,40.57246181639711-348.58836350936366j,6.550099724133828-632.7761484674376j,8.52886422584427-599.2580803157903j,6.997020509548973-624.0876479357827j,41.137181740164706-597.9866250756478j,8.183978712107645-582.0823362881216j,183.0420302969277+1109.0732476538333j,249.18239035260547+807.254460445894j,8.906789760185616-616.0368021013287j,10.82521885435065-475.07387136664835j,12.685829662110022-627.300923286422j,17.095740433592034-570.7293218243774j,37.331995203869-388.9746558876915j,6.098997464345797-630.3558497009524j,6.580085460184409-636.3876604850093j,13.225373770207783-484.65218530980644j,13.108052759792399-553.4212630808831j,6.366211639569768-626.3127012746896j,9.03160540133863-440.9353867409769j,8.241952314097926-564.8777713334798j,110.68590417459164-201.8524879399259j,25.046268618415752-373.207708713657j,34.104035796431994-650.1915636771533j,5.153391488048306-589.8380419082292j,65.67648619075452+188.5594528105652j,6.736720977310314-465.4745991564348j,4.965128415192563-427.42239052947446j,1082.4349335129818-420.2775725156471j,14.30098978520332-653.7260361220303j,9.66401603414936-614.3589882217028j,15.628828432610893-427.02401654717124j,50.922445298627935-567.9103900165026j,24.054152325428458-587.6117631878752j,8.508578027843942-635.6846451266872j,7.650894233431182-561.7280709401539j,13.901043168621612-387.64006599514863j,14.979174605968518-448.2891687938603j,49.92048166645406-600.0077277738844j,9.234655725336042-626.7390086481238j,28.739671942661534-575.2536011008987j,12.927589745228032-556.9449299479758j,166.9949767830319+914.1209564994967j,8.320215574874362-545.583910242711j
4.0551839464882946E9,7.11863871241583-492.25261103814233j,28.793925959490828-225.58585718794868j,6.61789067242272-557.7327194335005j,8.038378481455343-596.0470488137204j,35.094972000583205-227.46199591892352j,47.08660792391958-612.3555870783736j,50.958451073879836-449.85286003477313j,13.876538860169285-306.9789306566626j,7.943537631661957-623.9276770228314j,6.449698693543068-586.1724292351745j,14.670108443162155-622.8808233364531j,54.83686023553518-644.0681952265472j,12.829304670692506-556.483847717306j,610.7282435550972+1285.2357733433457j,368.8356340429593+1295.2572219451567j,11.56590395594677-600.37149021972j,24.53455663111535-466.29114465698916j,7.561357462537636-616.1029684591502j,7.633819065139196-575.4884240616445j,67.81210101939236-340.3949537553137j,6.568461294982325-618.8077620826929j,5.484185043328221-627.2632901936684j,5.346971023128165-471.6440366532856j,17.72547889637775-502.6612627251292j,8.458109544958218-616.7910836009494j,5.157945789677473-435.49889675753474j,16.212442951995943-548.8027848037668j,23.627535027919784-199.38850693624485j,38.008856802058695-342.354788699263j,60.73074620700963-618.5923978964737j,5.244916862151549-574.28190303647j,66.85522443703354+305.2755050813005j,8.137514357418604-463.54891167410483j,16.77931883001836-421.74461546879036j,171.8795420760815+363.60020794966636j,24.346857310247497-638.7731709398123j,11.929351663985937-607.8578125013958j,38.47151114802267-426.86137024166607j,32.74559016346304-572.372044856576j,18.752430793342278-577.6071666686499j,20.727616117132733-650.0499276702294j,6.183857666521035-535.1769427173905j,11.772406596002083-381.7191293367229j,15.330232815420917-491.7694798254202j,16.1639141719774-594.7345355962848j,7.234275989858235-615.9806725647431j,22.85763631891418-543.0240576249989j,24.231284320785857-547.7862837763536j,194.73534475565629+1544.4419522391054j,22.79765629999074-516.8158899052324j
4.07190635451505E9,5.504784127346483-491.7802725672537j,95.01941335410021-142.79318380720824j,15.54863961991609-550.7701434466408j,12.960429144213718-599.1342900633633j,14.34646617967831-109.9557701641135j,27.905288402972715-592.0708133477168j,41.54665768259236-483.97870081226444j,38.38398482359789-204.56909073965414j,7.697008030733195-619.7784350573678j,5.075992785231679-571.046888604509j,7.367029037433399-615.4669354969827j,11.00126451016479-623.3656166148799j,9.567248351952191-543.126405631048j,588.4643352863052+1745.615378495038j,1334.6962808888534+2067.557289317705j,10.88641422897756-595.8229288450045j,19.692919128128455-421.91463859549435j,12.550891734629596-600.5876961267402j,16.114902453988567-544.9881780399396j,26.481091812263774-297.13025805165546j,6.033186346948981-611.0330477784698j,5.5272177903936965-619.4890428273785j,9.123932313219605-464.97493359595154j,39.82826277575972-581.9757015564804j,9.65679439070787-607.8862257600871j,10.475172075613989-430.1139087222646j,39.61012062389267-483.2218968374272j,14.480378979532015-85.91829287020376j,17.514738526290607-261.04030677485997j,35.956948016449445-608.4171887957582j,4.989953457575569-558.3627769433111j,44.94414456452887+569.2927828009614j,4.243531839630064-457.1923633134129j,27.022794814469787-406.13782802173955j,143.17791560359598+910.9699140441312j,20.850645532368965-614.1627486673125j,8.145923752806286-605.3691250465486j,5.738280459167368-440.9794201394304j,18.16458926848877-570.4182769103694j,17.208283051669845-566.4848720474523j,17.06753990132655-629.5581500610646j,6.688317941005035-511.81505390781507j,13.189468017355042-416.3892672012394j,10.75825129842606-485.2827212986254j,21.662448575358813-581.1275283222897j,9.11268643801741-604.2561250998623j,19.91567494177-566.1247944390251j,14.29812211765499-536.0486511078939j,2544.0888941979465+4062.5130665710567j,13.539818703880604-493.71843094061705j
4.088628762541806E9,9.962732489773432-482.5118335657909j,45.9317824805683-263.0062287341624j,6.626220014385704-550.3250012562356j,5.768271630433367-591.5529747630446j,19.846500504517643+5.130634172324849j,39.49233720970649-595.9264563770761j,39.61807115853736-488.69194441000354j,171.8715431423932-202.97149118460882j,6.519474993897902-612.8049840796884j,5.152257011074336-554.9075972516749j,5.797281860210306-605.5867895552329j,19.455998231732007-613.6307488512831j,9.161972584039036-521.0689336112363j,2816.805434239735+2515.3127740974164j,1027.808808145984+2027.5007278223754j,16.651622378562543-581.3282165397791j,64.35713083882385-615.6291448311046j,22.22067904502312-596.4928979862743j,56.75829383321939-562.2947472804614j,22.04279691947833-232.96638319030018j,5.508030960476867-601.9941918929983j,6.505564404565175-611.0624653319695j,6.500878632503426-467.45954282193776j,30.28581714165735-554.2643175814318j,9.458719109200295-599.8447581567781j,16.41204616149752-425.5605234668574j,76.10329747618984-609.774248733168j,25.855280131823648+32.74716669883243j,44.66596144811954-175.8420818368473j,19.270262580730506-627.0068284408102j,5.080350642273329-541.2544276736205j,258.1389595058953+876.1244469645468j,4.168484641117361-453.57635179762303j,41.62095468830762-439.489416321391j,872.8886955961294+1413.6485072657376j,20.126142288156228-616.9245192286625j,7.780990863959317-597.7580862400603j,12.000090784839847-437.55768973608866j,10.33879018126186-562.173280583513j,11.360809032085529-558.138016459451j,19.048840579991854-615.4129539549033j,6.804420532840486-489.7791183631652j,26.38927656870613-440.1078066360869j,6.53822293951632-474.81749709349026j,10.72723590020279-572.2521214847498j,12.262720946446668-602.6599055970973j,15.91164579844988-528.5820192456832j,8.712048951743654-561.5101383860996j,2632.1281224932936-746.5289327434407j,11.286269445643718-465.1250363385146j
4.1053511705685616E9,9.84208070315863-484.71696539676003j,14.523222230332454-122.9042529003085j,6.1835394616245605-547.0465608683998j,5.931283356639443-584.8721059689368j,61.826945265442376+148.81220030708755j,11.024577377063554-594.6228013928129j,26.052835139099116-539.5589230826574j,53.86865510599411-228.49975271096926j,5.7792291298880505-603.4577572249968j,5.686852875662833-539.5715610563744j,7.162350158734139-598.5831400006451j,30.185553200058212-589.9957372018221j,7.644655512737108-500.790837914157j,8732.33540038512-3754.0478523411116j,2528.9207778014897+1651.686926439433j,33.99315820961207-576.6398065023044j,8.117761775853717-515.293573637984j,7.664762286781513-605.0799777615545j,23.64012815691459-595.3821140685229j,118.39588791491836-231.06314486815313j,7.702179381868465-589.7747738583671j,8.490456800331554-604.2327933326852j,7.059365048048573-460.7123184722339j,14.349554444127957-519.2842119436324j,7.3960413258500886-586.4296216188594j,25.08236919755318-454.50978730540373j,25.461730230615384-588.4661633677133j,19.20318706637038+125.7047219629653j,118.29970433952994-314.49322461206685j,23.010528206262485-611.6992855972704j,6.792291578156907-523.810136060862j,133.29463590128972+1282.469905143205j,4.454334656737653-449.2322000549179j,7.571973951460618-436.21047642449696j,357.30359653746723+1608.004189572441j,20.095837057113716-600.8796187880848j,6.944608638241786-589.0156085159942j,6.555575050205389-428.4184296703202j,25.139350494308303-546.9194332061045j,18.041678569445118-550.9191720836511j,14.000847970016094-608.2938512710261j,7.714494369372644-469.10486133847513j,12.533583938506252-410.08141703301635j,7.176855961293949-471.1941598792676j,9.532172778963805-567.3626114796369j,11.119824910569891-598.7246388761101j,20.773093009069704-496.09685858875577j,16.90854627084862-534.9430325225316j,395.70054049620575-956.5028339726764j,15.39573497057847-447.05656618924024j
4.122073578595318E9,6.985581374297684-479.6974850079484j,18.013481859617958-12.573469331024684j,6.1818510897882835-540.7645840632033j,9.251651033705011-580.6993917738771j,50.55099175212813+252.11799818977667j,13.905566210780883-588.5502897098531j,29.049663439208352-496.95722367575445j,14.694248777140842-107.1671017953121j,7.6203709966070825-597.197873402487j,6.409449697620589-523.5427132995195j,6.053525084894647-590.7856540484229j,13.48397739678344-599.6849318495863j,10.064058510711778-477.28750506168996j,1431.03740677466-314.8603192879483j,11974.374226917671-3529.9253383038767j,18.13999186458584-585.4424996226717j,15.963001172967221-485.42401305557865j,7.10772082064519-591.3828170346529j,13.459955326449961-568.1030956771715j,32.3471504783045-217.91156314160773j,6.303949931311541-579.393538916908j,6.001471965271469-597.1709665622858j,7.386758705964876-454.483206454697j,12.695912177632243-500.0547953010039j,6.821275824548329-581.7449060268228j,11.994865594936266-440.74704590010816j,27.810169193502883-569.5801101728756j,31.69116996411203+259.82823921110935j,17.312485024446055-162.02663807763935j,16.583601913614928-589.5433753851169j,6.406895307382853-505.0364818761968j,556.2444580166355+2123.90414201618j,4.426781127555952-443.87932035126966j,7.077034555822957-429.47077457085334j,706.2861446357139+3359.655397510128j,67.1344857612873-593.78312678927j,11.663858420647761-584.6151954095899j,4.375328095645034-427.9545190739189j,18.788178350219574-547.8446637706014j,30.71072253546585-550.3686097475281j,9.263070018451849-598.0929322876733j,8.69267575756469-440.53515934469965j,7.441272830373124-402.9849718716764j,6.471540521465399-464.7874006041676j,8.726315374187566-563.68871062277j,9.027493991666308-586.2373377321666j,84.80150871497291-495.54466476515535j,11.62177734948703-531.1933051345598j,835.5630620863092+212.9945413333164j,9.098681225844212-404.9632699792776j
4.1387959866220737E9,11.032833521401404-471.2421372287931j,32.220857153699214+126.22511032143669j,7.216020816210912-539.5152891696853j,6.634728705042864-576.6240621050325j,97.46446047280293+449.94213695795463j,23.811507263305426-560.4197283049136j,29.960335491574842-494.90220139124636j,19.2016151414208+10.015101010296231j,10.403165279955351-592.6643270698447j,5.824887253038039-506.1978445680075j,6.288277439651853-583.8264535117136j,24.53779609098186-610.449670695877j,9.135891795305808-449.0775815952726j,3925.8980393543466+890.8199727590443j,4834.1810999637055+2225.5412118796953j,25.241312589698783-595.8064651169752j,6.572821942391316-491.68084353212794j,7.3049938740247775-583.0897870495844j,31.80009808203824-554.4477886855735j,14.298525523236549-91.43083390961296j,7.4945118437104625-568.9944681960026j,5.304716387117855-587.7697491762153j,4.940874781428917-454.21797280132074j,20.897524268442314-465.43556107914486j,9.48425074562435-565.4033527812592j,7.119887488881967-434.00115715336483j,11.721154386891177-560.268909112378j,45.573181687066814+475.0944556742229j,14.392775664711428-47.0436161441802j,27.851099267335655-579.0045033166529j,6.540764104139431-483.63678785412134j,1678.30448432991+3629.9773063852326j,13.004759259090804-443.0832204242841j,6.543118771175639-417.1394489932635j,5125.984982083993+5691.765336233036j,30.190890088068873-610.7832724413408j,7.192986746105599-578.7545697492104j,5.786496923956905-425.02449901281915j,10.815843913517222-536.5016159965758j,21.33110389406672-566.651556000626j,14.334434529306959-587.2779735280232j,7.407583755251398-410.59717998826983j,4.886909068471368-395.6345428314839j,6.1018456839627815-457.8611820377037j,9.013457064721036-557.4509994556672j,15.835721573899319-563.7051503416305j,41.97611122747726-585.7921463629049j,20.959753193593535-549.8395432044391j,1565.4411941765015+793.6805102961838j,23.273140451152425-350.94470689386526j
4.1555183946488295E9,12.64156366621889-473.07500552058036j,86.50161735494757+240.01905549452937j,6.200790238507925-533.1412506758712j,5.02592046438231-569.5982108136833j,140.5322807376494+843.4294149815703j,21.822935497619525-578.0609385267787j,89.55851738849609-553.0456854886352j,34.69286364923512+139.08817071017478j,6.134011087024559-583.8421456938264j,5.942453670967624-487.1525018184745j,6.207953987974382-576.7809549254935j,13.757866079638442-587.1408155526254j,19.564804550293854-421.41035688349166j,6056.459770351864+3999.4548565022324j,4321.6271403301225-5400.598665246698j,18.6556256730225-553.1956959376246j,6.120958008893012-485.2976207662183j,7.704900919743195-576.2581024640199j,13.15988268081004-554.772486568348j,42.68698809698258+15.967766043809961j,6.471640431702959-557.5738114779547j,4.9310807924362665-578.2425638765029j,6.155744519704785-450.91239941228315j,14.720711700535078-434.9534358240268j,33.726023487960035-549.57971067689j,10.28104060902029-433.9288252255295j,7.8423412765282094-551.8802295908301j,125.55001147252396+784.1756274676923j,18.22208574277772+68.55622788976078j,35.75882687199531-563.5433274448408j,12.442856286979254-463.6526299057241j,8279.683898561314+917.9798530212728j,12.591470121598473-424.5702936666614j,4.8389764718510655-412.9185136982846j,4187.524270815811+2951.9067069372045j,17.424495394529988-583.3436734935137j,10.584058591544899-574.4057509379103j,4.855776250696666-420.65938977646334j,22.399682911156074-553.3057159077601j,16.120855157500355-552.9151468938235j,7.375205403216417-566.3753700834606j,7.992338478929791-379.9370592474208j,11.231928046494131-390.9389426419183j,6.729713781299385-455.1544012910012j,14.934829905440951-552.0010936484142j,8.15184675443318-581.7036710830275j,30.00722132212159-592.1426957067225j,27.34336286775648-554.4755810012181j,2305.3315924644526-33.23656815310823j,32.19257596130685-359.7903734673451j
4.1722408026755853E9,6.146256329613698-470.05198746016185j,141.31305644985386+550.4285191306161j,11.60541021019333-531.136210975032j,5.337089724011782-561.885287325364j,530.3036461791169+425.39352567368474j,8.662842577046549-570.6222864665882j,10.075670691200873-495.0703597558974j,38.84570643636916+326.6283675294238j,5.070243671815754-575.7647564027607j,7.35903899922666-469.918244396368j,6.52710014916134-568.3250181893702j,50.3408366169189-603.8576808318263j,12.207223330976525-391.60642661502885j,2295.0785046497326-857.8909427522867j,3515.2020235075906-2935.5454668667726j,25.366409998654596-575.0234402682404j,5.178021109269989-478.38802810425585j,6.9027649578832255-568.8557826958172j,41.30677328958963-554.1685852965181j,28.396611542767708+119.528742893421j,9.307521905150859-538.4620175806035j,5.575771719818494-568.3027394337075j,11.458328470339328-447.7878248304994j,54.85908978072709-399.47415474188557j,44.651513195119975-536.6371376040012j,6.451482717774551-429.28179820909946j,8.064782064015397-545.7528754317052j,493.26651435588235+759.0015110123906j,29.380906232869332+219.32471281198738j,28.20224993231706-555.1989229610783j,9.632466326708336-445.2964399636008j,1425.9090766061413+1324.4653063336675j,9.17819129250629-444.9602621530387j,15.0949229008913-417.47689425155477j,7589.209958925695+14526.19283021431j,15.860781677017998-580.6310673351127j,7.393304033988376-569.5552482930605j,6.060443448669426-414.3002744011689j,20.87810795398079-544.7464209160759j,13.902029417946476-548.6959053211169j,11.31388499196393-559.7819189814829j,17.088951109183007-336.7280900852103j,4.810124627822238-390.8271306321937j,9.849452187564358-453.5163739283318j,10.531773816861643-554.4264793422269j,9.536482257902515-568.3411422507987j,11.585517489360452-560.7902166252273j,7.7977643992822125-538.2423291683286j,2668.347593274595+376.85354082856503j,36.95818302575315-328.96172700717256j
4.188963210702341E9,8.736567584600195-469.46075020626927j,782.099830257756+481.207212815315j,6.347295438987353-524.9583764918607j,7.758545089592554-556.4102641835317j,371.6091699975355+495.5571587882075j,17.106644998821928-559.9202356307723j,37.475636011785134-484.775097352627j,110.03845903100199+657.2701972724394j,5.477858800439215-566.0019824584671j,6.786813351567669-447.33573123221953j,7.942043648916206-555.455498303325j,21.25684668072551-569.4610201381029j,20.62473272825845-350.19147838108324j,2708.368281124645-3382.6005413206267j,1492.7807191351421-4185.171624518067j,20.98512268678791-571.8002638848715j,14.012495339357791-475.4939020858891j,8.748124859299944-562.0872247563707j,21.864695421708372-555.6906407071631j,52.78268532216471+259.60175411002314j,11.619213739950737-533.981617393852j,5.195405674962752-558.9064984115754j,8.854613498202518-446.2792633438907j,12.456979193584777-400.15779195285694j,16.076253323288313-565.3966237200655j,19.980340297837554-428.44909837964724j,8.827122432129146-535.4762191502792j,868.4459015592404+1462.3083496681893j,38.1525628040306+381.5255076645259j,56.70600203918366-560.6078123304893j,13.603247319492493-422.88653530379287j,4522.203832699702+1363.194865789984j,6.282539061130614-437.57451014443393j,8.240956157567625-418.1048944227914j,3814.63361208226-7816.265065431476j,11.94328885208198-566.3642317159083j,6.9015497076158185-564.9113767885717j,4.588173170443248-416.9774683436046j,7.3738791677432305-534.230951231807j,13.46423942364198-534.5543959262731j,7.672884918701904-547.920046554199j,47.26204465287656-364.5270311523137j,7.669916651507391-384.1577931897719j,12.6690600167538-441.1134763264856j,5.73571093537405-548.1391039672518j,8.40721367223388-552.8858618025587j,59.10349990895872-559.9888567524675j,21.3486037689135-529.7933168850561j,7485.383897890277-815.5215209155832j,11.900744576842115-264.1869171474325j
4.205685618729097E9,8.820604960707048-464.5535400698226j,256.294551574353+374.3866904308301j,5.729892273037896-522.8164713322361j,7.923964067426091-551.9621363753439j,214.50365898038572+1095.2222238633929j,49.834928638685206-545.6209716083338j,16.126898733899573-481.89585226265575j,688.2194761648252+994.8022738844389j,7.62061176719081-557.6235528855447j,9.680361339529288-422.5278274987698j,8.440310414680006-550.5296470520095j,8.73035452863462-567.9188558478565j,34.18318627642791-336.00907976240296j,1895.1051925693944-2740.474294948021j,1295.9725820197991-2553.4876398438487j,20.92830881569986-589.1516464732574j,5.425520129289875-470.84288766759704j,12.63044425688787-551.4432761410694j,12.37513057698853-540.4545393516065j,61.65006329247739+404.43919978400464j,16.761161296778308-521.0947797005379j,6.881523654211226-548.6260310799116j,6.444144958479245-445.89038769842307j,15.90624137340366-351.75298309852514j,23.5862269610737-551.1059638085172j,11.823738248938655-416.630156373096j,15.194662524945345-530.8665676708739j,823.3807708526598+1000.1184577162226j,87.49350428901582+643.2183894348157j,51.47033652348877-568.4149938565895j,7.14541294511822-393.59175263208255j,20041.73839087028-6984.201854156961j,7.706990436814462-432.47689640449187j,5.0353938617732545-410.6623717281076j,2882.1014181761584-6379.146438009492j,13.367629394578733-564.1051664806043j,5.524100022028548-557.6056097792739j,6.813740288697547-409.1003825541419j,8.501799972584333-529.094773655483j,24.326365607152205-528.5713943514139j,9.168162388342015-530.2422577417617j,33.89685832021031-308.3782206478317j,4.3025380997804294-377.18875540708643j,16.687126106849536-449.3292783004778j,7.984310245334539-542.5436038946061j,6.673250375001937-551.6114440684787j,9.044778372207464-549.5944998644661j,7.0351090628469075-526.5127550977228j,3809.5347565371453-8184.921248426528j,62.73579766683379-211.8438801118512j
